timestamp,cmdb_id,kpi_name,value
1647849600,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,960368.0
1647849660,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,960368.0
1647849720,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,926716.0
1647849780,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,980348.0
1647849840,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,991420.0
1647849900,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,943540.0
1647849960,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,928948.0
1647850020,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,997128.0
1647850080,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,964284.0
1647850140,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,987460.0
1647850200,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,973112.0
1647850260,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,927576.0
1647849600,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,938524.0
1647849660,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,938524.0
1647849720,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,916804.0
1647849780,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,972900.0
1647849840,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,961128.0
1647849900,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,945404.0
1647849960,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,1045092.0
1647850020,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,2261964.0
1647850080,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,948624.0
1647850140,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,947548.0
1647850200,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,922160.0
1647850260,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,1010716.0
1647849540,istio-egressgateway-7bfdcc9d86-g2d4q,istio_agent_go_memstats_alloc_bytes,991384.0
1647849540,istio-ingressgateway-565bffd4d-rn678,istio_agent_go_memstats_alloc_bytes,973852.0
